,SPEAKER,Text
426,SPEAKER_01," Yeah, and so it sounds like you're able to get some news while you're in here."
427,SPEAKER_00, Terrible news.
428,SPEAKER_01," Yeah, and so you have a map and you're even sort of hurt on the news about"
429,SPEAKER_00," They're getting close to the capital of Ukraine, Kichwa."
430,SPEAKER_01," Yeah, tell me what you've learned on the news about what's happening with this."
431,SPEAKER_00," Well, so far I've heard that Putin ordered a missile strike near the capital. Okay. That killed 10 people."
432,SPEAKER_01, Okay.
433,SPEAKER_01," Okay, anything else you've learned?"
434,SPEAKER_00, I learned that the UN and all the other countries are afraid that if they push Putin in the back corner he might release nuclear weapons.
435,SPEAKER_01, Okay. And from what you've learned about your history and this map...
436,SPEAKER_00," actually know a lot about him actually. He did judo, he had trouble in school. This is Pooten we're talking about? Yeah, he actually told the news cast that he couldn't go into the KTV. They had to find him, he couldn't find them, like he had to go through this whole process in order to go there."
437,SPEAKER_01, This is Putin we're talking about?
438,SPEAKER_01, How'd you learn all this?
439,SPEAKER_00, They had a book on a book card about him.
440,SPEAKER_01," Oh, okay. On the book card here?"
441,SPEAKER_00," book right here? Yeah, his father served in World War II. Before that, he had a grandfather who served in World War I. Or a godfather, I don't know, I can't remember. His mother lived in St. Petersburg, Russia. When the war came, his father almost got captured. He managed to escape and make it back to the borderline with Russia, but Solomon ordered him to go back to the front line, so that's what he did. He got injured and then he worked on the farm for the rest of his life until his mother gave birth to him."
442,SPEAKER_01," His mother, uh..."
443,SPEAKER_00," He has two daughters. He got married in, I think, 1969."
444,SPEAKER_01, This is Putin we're talking about.
445,SPEAKER_00," He had a tough life. Okay. Yeah, his first wife, well, he wanted to get married at a young age, but he didn't. He kind of regretted, but tries not to think about it. He didn't really talk about it too much, his relationship, but he had a hard life."
446,SPEAKER_02, Have fun.
447,SPEAKER_01, Okay.
448,SPEAKER_02,
449,SPEAKER_00," When the USR was falling, he was in East Germany. He was kind of paperwork back work as a KGB agent. He was pretty much getting information back from the states and Russia, USR. But no one was really following any orders by the time the department of law was happening. Actually, where he was working, all the mobs from East Germany went into the building, tried to figure out who was KGB or not. And he managed to escape. He managed to get some guards. And he went back to Russia, where he worked his way up to becoming president of the Russian army."
450,SPEAKER_01, Okay.
451,SPEAKER_01," Okay. And from your reading and knowledge, how do you think things are going to turn out?"
452,SPEAKER_00, I'm hoping maybe he does the right decision and calls for a cease fire and that he apologize to the Ukrainian government and offers them assistance in rebuilding the country.
453,SPEAKER_01," It's probably his best option. OK. What... From what you read about him, what do you think the likelihood is he'll take that option?"
454,SPEAKER_00, It's probably the best option.
455,SPEAKER_00, I think he'll figure something out. That's just me and my personal opinion. He might cause for a ceasefire.
456,SPEAKER_01, Okay.
457,SPEAKER_00," I hope so. That's what I'm hoping maybe within a year or so. I don't think he's gonna capture it by the end of the week. Ukraine? Nah, I don't think he is. Yeah, I don't know how to steal. Okay. I don't want to steal too much because I don't want to get arrested. I want a blacklist."
458,SPEAKER_01," Yeah, sure."
459,SPEAKER_00," So usually what I stole was candy, food, magazines, movies, video games, video game controllers."
460,SPEAKER_01, So usually when I.
461,SPEAKER_01," Okay, did you ever take any of those things before you were age 15?"
462,SPEAKER_00," Oh, I try to."
463,SPEAKER_01, Tell me what anything you stole or shoplifted before 15. Movies. What kind of movies would you steal?
464,SPEAKER_00, Police.
465,SPEAKER_00," Anything on the market? Anything I found interesting, like Predator?"
466,SPEAKER_00,
467,SPEAKER_01, Was that the old days when they had like DVDs and stuff? I don't know if they had that so much anymore.
468,SPEAKER_00," Not anymore, now you can just go on the internet."
469,SPEAKER_01, But you would sell some DVDs? At what age did you start doing that?
470,SPEAKER_00," 12, 13."
471,SPEAKER_01, Okay.
472,SPEAKER_01, and um...
473,SPEAKER_00," I stole, what was it, a box of donuts once."
474,SPEAKER_01," How old were you then? 15. Okay. Have you ever broken into anybody's home or... Zachary did. What's that? Zachary. Yeah, how about you?"
475,SPEAKER_00, you
476,SPEAKER_00, Exactly.
477,SPEAKER_00, Have a...
478,SPEAKER_01," Uh... Or a car even? Yeah, I broke into cars."
479,SPEAKER_00," Yeah, I broke into cars. Steel can change, junk change. Find if they have any weapons or anything there."
480,SPEAKER_01, Okay. And...
481,SPEAKER_01, Were you less than 15 when you broke into the cars?
482,SPEAKER_00," a little bit older, 16. Okay. Shoot stuff in the backyard."
483,SPEAKER_01, Okay.
484,SPEAKER_01, That's what you did? Was that related to... Yeah.
485,SPEAKER_00, Yeah.
486,SPEAKER_00," uh, for entertainment."
487,SPEAKER_01, But help me understand that this is... It's against the law.
488,SPEAKER_00, It's against the law. It was the thrill of knowing I was against the law.
489,SPEAKER_01, What was the thrill of doing it?
490,SPEAKER_00," I was just shooting a gun in the back yard, it was against the law. What is it? Yeah."
491,SPEAKER_01, What is it?
492,SPEAKER_01, And what was throng about that?
493,SPEAKER_00," Uh, no one would know. No one could know."
494,SPEAKER_01," Okay. And then you were describing to me yesterday that at some point you decided, did you leave the gun there?"
495,SPEAKER_00," No, I went out of... I went out... I think I tossed a gun on the ground. On the third floor or something? Yeah, I think I stopped on the first and then I kicked and I went to the side."
496,SPEAKER_01, on the third floor or something.
497,SPEAKER_01," And tell me again, how come you stopped at that moment?"
498,SPEAKER_00," Uh, I couldn't find anyone to kill."
499,SPEAKER_01, How come? I didn't know if kids were in the classroom or not?
500,SPEAKER_00, I didn't know. I just didn't want to do it anymore and I didn't think anyone else was in the building.
501,SPEAKER_01, I just-
502,SPEAKER_01, Okay.
503,SPEAKER_01, Yesterday you were in a script.
504,SPEAKER_00," Yeah, I told you I had a like trap note and everything. No wonder that was shooting out."
505,SPEAKER_01," Yeah. I was going to ask about the window. Could you see? I think you told me. Yeah, I can see it."
506,SPEAKER_00," Yeah, I can see your football field and then I can see off to the side a little bit."
507,SPEAKER_01, Could you see any kids at all or not?
508,SPEAKER_00," Yeah, there was like three or four hundred yards. I saw eight hundred yards. I can't remember who guarded."
509,SPEAKER_01," And did the window ever crack at all? Yeah, there was like little holes in it. Okay."
510,SPEAKER_00, We'll be right back. We'll be right back.
511,SPEAKER_01, And I don't know how big an AR-15 is when I took those.
512,SPEAKER_00," It really is the bullet inside, not so much the barrel. The barrel doesn't have anything to do with this, it's the bullet. So however big the bullet, that hole is going to be the same size."
513,SPEAKER_01," Okay, and did you ever try to fire through the bullet hole or what happened there? I tried."
514,SPEAKER_00," I tried, it didn't work. I tried smashing my gun into the window, tried to break it, didn't work."
515,SPEAKER_01, And why were you trying to smash the gun in the window?
516,SPEAKER_00," Uh, to try to shoot out the crowd."
517,SPEAKER_01," Okay, that didn't work."
518,SPEAKER_00, on the other side and I was walking and I saw two girls and shot them.
519,SPEAKER_00," Okay, and then I shot with a beer wing and I verified the stairwell. Okay. Yeah."
520,SPEAKER_01, And then I...
521,SPEAKER_01, Okay.
522,SPEAKER_00," I think his name was Pierre Wong or something? I can't remember. I only, I only, obviously found out what I'm saying."
523,SPEAKER_01, I don't like...
524,SPEAKER_01," And so, the first person you shot, remind me what that was like and how you did that."
525,SPEAKER_00," I thought they would scream. Uh huh. I just wanted like they passed out. Okay. Passed out and just, well I just came out of pouring out of their head. Okay. It was really nasty and sad to see."
526,SPEAKER_01, Uh-huh.
527,SPEAKER_01, Okay.
528,SPEAKER_01, Okay.
529,SPEAKER_01," And again, I think I asked you this yesterday, but..."
530,SPEAKER_00, I think I showed mercy to the three girls. I was gonna walk away but they started to show nasty faces and then... Okay. ...I went back there.
531,SPEAKER_01, Okay? Can we have a bad day or something? Explain to me how you showed him mercy.
532,SPEAKER_00," I was thinking about shooting him, but I didn't want to do it. So I was going to walk down the hallway."
533,SPEAKER_01, And did you end up shooting him?
534,SPEAKER_00," Yeah, because they gave me an acid look and they were about to run."
535,SPEAKER_01," Okay, what do you mean they gave you an estrogen?"
536,SPEAKER_01," Like, something like that. And so, you were gonna give them mercy. I thought they were gonna attack me or something. Okay, you were gonna give them mercy, but then they gave you the nasty one."
537,SPEAKER_00," Like, I don't know what that..."
538,SPEAKER_00, We're gonna go.
539,SPEAKER_02, I thought they were going to tackle him or something.
540,SPEAKER_00,
541,SPEAKER_00," Well, can I run away?"
542,SPEAKER_02, And then we're gonna run away. So we're gonna run away one.
543,SPEAKER_01, Cheers.
544,SPEAKER_00," And when I pulled up and gone, they just went back and they put it into a ball."
545,SPEAKER_01, Yeah.
546,SPEAKER_01," that like they pulled into the ball? Okay, and then what happened?"
547,SPEAKER_00," I didn't even aim or anything, I just shot."
548,SPEAKER_01, How did the boats get on if you didn't aim?
549,SPEAKER_00," I aim downward. Okay. Like, I had like, on a waist and I had..."
550,SPEAKER_01," And then, do you remember who the last person you shot was?"
551,SPEAKER_01, Uhh... Here Wayne. Okay.
552,SPEAKER_01, and describe to me what happened.
553,SPEAKER_00, Describe to me what happened. His head blew up like a horrible one.
554,SPEAKER_01," And then there was a girl you mentioned yesterday that was... Yeah, she was..."
555,SPEAKER_00," Yeah, she was on the stairwell. She was on the stairwell? Yeah, I shot her. She was crawling. I shot her in the back."
556,SPEAKER_01, She was on the stairway.
557,SPEAKER_01," Okay, and how come?"
558,SPEAKER_00, Okay.
559,SPEAKER_00, I told you I wanted to kill as many people as I could and take my life. Okay. So I was going to go. I shot her. Okay.
560,SPEAKER_01, Okay.
561,SPEAKER_01, Okay.
562,SPEAKER_01, Okay.
563,SPEAKER_00, I've been in the shower twice.
564,SPEAKER_00," I was injured in the leg, I think when I was sitting down the hallway or something."
565,SPEAKER_00, Okay.
566,SPEAKER_00," I think security card in the hallway that I told you about, I think it gave me a nasty look. So, shot it in the head."
567,SPEAKER_00, Peek-a-boing also gave me a nice look.
568,SPEAKER_01, Thank you.
569,SPEAKER_00," Yeah, I love that."
570,SPEAKER_01, What kind of look did he give you? Do you remember?
571,SPEAKER_00, with a dotin entangled
572,SPEAKER_01, Okay.
573,SPEAKER_00, I think I told him to run.
574,SPEAKER_01, and teddy
575,SPEAKER_01, Thank you.
